timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705667949018,59,HTTP Request,301,Moved Permanently,Case2 8-1,text,true,,347,121,1,8,https://makemytrip.com/railways/,59,0,51
1705667949026,57,HTTP Request,301,Moved Permanently,Case3 9-1,text,true,,346,120,1,8,https://makemytrip.com/flights/,57,0,49
1705667954088,13,HTTP Request,301,Moved Permanently,Case3 9-1,text,true,,347,121,2,4,https://makemytrip.com/railways/,13,0,0
1705667954088,13,HTTP Request,301,Moved Permanently,Case2 8-1,text,true,,345,119,2,4,https://makemytrip.com/hotels/,13,0,0
1705667954088,50,HTTP Request,301,Moved Permanently,Case3 9-2,text,true,,344,118,2,4,https://makemytrip.com/forex/,50,0,43
1705667954088,72,HTTP Request,301,Moved Permanently,Case2 8-2,text,true,,353,127,2,4,https://makemytrip.com/holidays-india/,72,0,50
1705667959105,22,HTTP Request,301,Moved Permanently,Case3 9-2,text,true,,347,121,3,6,https://makemytrip.com/railways/,22,0,0
1705667959105,22,HTTP Request,301,Moved Permanently,Case2 8-1,text,true,,353,127,3,6,https://makemytrip.com/holidays-india/,22,0,0
1705667959105,23,HTTP Request,301,Moved Permanently,Case3 9-1,text,true,,346,120,3,6,https://makemytrip.com/flights/,23,0,0
1705667959105,24,HTTP Request,301,Moved Permanently,Case2 8-2,text,true,,347,121,2,4,https://makemytrip.com/railways/,24,0,0
1705667959106,71,HTTP Request,301,Moved Permanently,Case3 9-3,text,true,,344,118,2,4,https://makemytrip.com/forex/,71,0,62
1705667959106,71,HTTP Request,301,Moved Permanently,Case2 8-3,text,true,,345,119,2,4,https://makemytrip.com/hotels/,71,0,62
1705667964138,11,HTTP Request,301,Moved Permanently,Case3 9-2,text,true,,346,120,3,6,https://makemytrip.com/flights/,11,0,0
1705667964138,11,HTTP Request,301,Moved Permanently,Case3 9-3,text,true,,347,121,3,6,https://makemytrip.com/railways/,11,0,0
